timestamp,user,action,input,result,category
2026-02-13 12:47:34.536439,admin,recommend,информатика здоровье,ok,
2026-02-16 09:29:54.202467,admin,predict,«Министерство здравоохранения объявило о запуске новой программы модернизации медицинских учреждений. В рамках проекта планируется обнов-ление оборудования и расширение кадрового состава региональных больниц.»,Нацпроекты,Нацпроекты
2026-02-16 09:31:17.949178,admin,recommend,санкции и международные отношения,ok,
2026-02-16 09:32:45.168515,admin,recommend,манипуляции здоровье образование,ok,
2026-02-16 09:33:03.186146,admin,recommend,реклама связи информатика,ok,
2026-02-16 09:34:11.758378,admin,summary,"«Правительство Российской Федерации утвердило новый пакет мер под-держки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимул","«Правительство Российской Федерации утвердило новый пакет мер под-держки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимул",
2026-02-16 09:35:21.321270,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир","Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир",
2026-02-16 09:36:22.837900,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир","Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир",
2026-02-16 09:43:04.780416,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир","Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир",
2026-02-16 09:43:12.431834,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир","Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир",
2026-02-16 09:44:04.020559,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир","Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, суб-сидирование процентных ставок по кредитам и расширение программ государ-ственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулир",
2026-02-16 10:03:21.795903,admin,summary,"Правительство Российской Федерации утвердило новый пакет мер поддержки малого и среднего бизнеса. Предусматриваются налоговые льготы, субсидирование процентных ставок по кредитам и расширение программ государственной поддержки. Ожидается, что данные меры позволят сохранить рабочие места и стимулиров","Предусматриваются налоговые льготы, субсидирование процентных ставок по кредитам и расширение программ государственной поддержки.",
